item_id,statement_guid,property_id,wikidata_value,meta_wikidata_value,external_value,external_url,type
Q153739,,P2174,1888-09-16T00:00:00Z,,1886,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q153739,,P2174,1887-09-16T00:00:00Z,,1886,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q576570,,P2174,1860-01-01T00:00:00Z,,1858,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q325503,,P2174,1923-02-26T00:00:00Z,,1915,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q1298270,,P2174,1889-12-15T00:00:00Z,,1888,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q1298270,,P2174,1887-12-15T00:00:00Z,,1888,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q4072108,,P2174,1875-01-27T00:00:00Z,,1873,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q8867,,P2174,1927-12-04T00:00:00Z,,1930,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q67897,,P2174,1876-06-21T00:00:00Z,,1875,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q156890,,P2174,1876-01-02T00:00:00Z,,1870,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q318352,,P2174,1832-01-01T00:00:00Z,,1825,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q3504712,,P2174,1815-08-13T00:00:00Z,,1816,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q7351596,,P2174,1908-10-20T00:00:00Z,,1913,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q7351596,,P2174,1910-10-20T00:00:00Z,,1913,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q586843,,P2174,1932-01-01T00:00:00Z,,1933,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q518444,,P2174,1886-09-22T00:00:00Z,,1888,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q321158,,P2174,1921-03-28T00:00:00Z,,1920,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q440673,,P2174,1866-05-14T00:00:00Z,,1865,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q686321,,P2174,1924-01-01T00:00:00Z,,1926,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q686321,,P2174,1924-03-07T00:00:00Z,,1926,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q19595180,,P2174,1909-11-30T00:00:00Z,,1910,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q17308840,,P2174,1924-05-20T00:00:00Z,,1925,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q932167,,P2174,1907-03-03T00:00:00Z,,1908,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q173223,,P2174,1845-05-22T00:00:00Z,,1844,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q173223,,P2174,1845-01-01T00:00:00Z,,1844,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q441440,,P2174,1939-07-20T00:00:00Z,,1937,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q559325,,P2174,1820-01-01T00:00:00Z,,1819,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q3059390,,P2174,1896-04-16T00:00:00Z,,1899,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q6762808,,P2174,1925-09-22T00:00:00Z,,1923,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q3760455,,P2174,1857-08-01T00:00:00Z,,1851,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q1039975,,P2174,1874-10-22T00:00:00Z,,1878,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q704588,,P2174,1894-12-07T00:00:00Z,,1892,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q596961,,P2174,1837-12-24T00:00:00Z,,1836,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q6209452,,P2174,1948-08-12T00:00:00Z,,1947,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q76882,,P2174,1808-10-23T00:00:00Z,,1809,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q3402687,,P2174,1891-01-01T00:00:00Z,,1889,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q2289164,,P2174,1886-11-18T00:00:00Z,,1888,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q2289164,,P2174,1886-01-01T00:00:00Z,,1888,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q6682,,P2174,1833-01-06T00:00:00Z,,1832,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q18150137,,P2174,1875-01-31T00:00:00Z,,1876,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q2980574,,P2174,1873-01-01T00:00:00Z,,1872,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q6233387,,P2174,1895-04-07T00:00:00Z,,1898,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q4795053,,P2174,1874-01-01T00:00:00Z,,1879,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q2117132,,P2174,1882-01-01T00:00:00Z,,1881,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q19755324,,P2174,1930-01-01T00:00:00Z,,1929,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q19755324,,P2174,1930-01-20T00:00:00Z,,1929,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q926308,,P2174,1890-10-04T00:00:00Z,,1891,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q2089948,,P2174,1887-01-01T00:00:00Z,,1888,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q2089948,,P2174,1881-01-01T00:00:00Z,,1888,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q2089948,,P2174,1886-01-01T00:00:00Z,,1888,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q541831,,P2174,1939-12-23T00:00:00Z,,1940,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q438129,,P2174,1878-08-09T00:00:00Z,,1879,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q381277,,P2174,1911-12-26T00:00:00Z,,1912,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q458721,,P2174,1904-01-01T00:00:00Z,,1906,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q3553651,,P2174,1887-03-16T00:00:00Z,,1890,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q151836,,P2174,1913-01-01T00:00:00Z,,1928,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q1147721,,P2174,1904-01-01T00:00:00Z,,1903,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q338350,,P2174,1903-01-10T00:00:00Z,,1902,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q698256,,P2174,1932-12-24T00:00:00Z,,1933,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q723892,,P2174,1926-04-19T00:00:00Z,,1928,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q449536,,P2174,1918-03-12T00:00:00Z,,1920,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q449536,,P2174,1918-01-01T00:00:00Z,,1920,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q15505168,,P2174,1942-08-16T00:00:00Z,,1943,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q15505168,,P2174,1942-01-01T00:00:00Z,,1943,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q3571991,,P2174,1893-01-01T00:00:00Z,,1889,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q321657,,P2174,1903-03-05T00:00:00Z,,1902,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q18345966,,P2174,1913-01-01T00:00:00Z,,1910,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q780102,,P2174,1884-11-18T00:00:00Z,,1882,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q18507746,,P2174,1826-11-30T00:00:00Z,,1827,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q7350504,,P2174,1814-02-27T00:00:00Z,,1811,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q130777,,P2174,1879-02-23T00:00:00Z,,1878,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q1346343,,P2174,1878-11-14T00:00:00Z,,1883,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q2660929,,P2174,1886-01-01T00:00:00Z,,1887,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q3503137,,P2174,1886-03-04T00:00:00Z,,1885,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q5353252,,P2174,1936-10-01T00:00:00Z,,1938,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q724692,,P2174,1887-02-19T00:00:00Z,,1885,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q2576565,,P2174,1889-05-29T00:00:00Z,,1890,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q622814,,P2174,1926-04-09T00:00:00Z,,1925,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q194363,,P2174,1889-03-12T00:00:00Z,,1890,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q194363,,P2174,1889-12-17T00:00:00Z,,1890,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q5363286,,P2174,1896-10-01T00:00:00Z,,1897,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q20769411,,P2174,1907-10-21T00:00:00Z,,1917,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q3624721,,P2174,1902-06-18T00:00:00Z,,1904,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q5968073,,P2174,1902-08-05T00:00:00Z,,1907,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q1981250,,P2174,1831-08-15T00:00:00Z,,1832,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q381950,,P2174,1884-01-18T00:00:00Z,,1886,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q381950,,P2174,1888-01-30T00:00:00Z,,1886,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q2898425,,P2174,1914-09-07T00:00:00Z,,1916,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q17399229,,P2174,1941-03-31T00:00:00Z,,1942,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q17399227,,P2174,1941-01-01T00:00:00Z,,1942,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q5446755,,P2174,1895-01-24T00:00:00Z,,1896,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q3161887,,P2174,1874-04-19T00:00:00Z,,1878,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q921345,,P2174,1895-04-20T00:00:00Z,,1894,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q248707,,P2174,1858-10-10T00:00:00Z,,1859,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q705062,,P2174,1890-04-03T00:00:00Z,,1892,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q705062,,P2174,1890-04-03T00:00:00Z,,1892,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q1965085,,P2174,1911-01-01T00:00:00Z,,1913,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q585067,,P2174,1864-03-29T00:00:00Z,,1862,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q585067,,P2174,1861-03-29T00:00:00Z,,1862,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q629513,,P2174,1880-10-17T00:00:00Z,,1882,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q435149,,P2174,1902-09-16T00:00:00Z,,1904,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q435149,,P2174,1902-12-16T00:00:00Z,,1904,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q632656,,P2174,1904-01-01T00:00:00Z,,1907,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q3260874,,P2174,1810-10-03T00:00:00Z,,1811,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q1246260,,P2174,1934-10-18T00:00:00Z,,1932,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q9028100,,P2174,1891-12-04T00:00:00Z,,1896,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q6142414,,P2174,1911-01-01T00:00:00Z,,1912,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q602999,,P2174,1892-09-02T00:00:00Z,,1897,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q4757433,,P2174,1829-03-20T00:00:00Z,,1830,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q692098,,P2174,1891-07-21T00:00:00Z,,1889,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q518406,,P2174,1887-01-01T00:00:00Z,,1884,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q993400,,P2174,1923-04-03T00:00:00Z,,1924,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q315647,,P2174,1886-12-29T00:00:00Z,,1896,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q558332,,P2174,1928-12-10T00:00:00Z,,1929,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q6153610,,P2174,1893-05-31T00:00:00Z,,1894,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q7144042,,P2174,1938-01-01T00:00:00Z,,1940,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q3852444,,P2174,1878-08-18T00:00:00Z,,1877,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q154448,,P2174,1906-04-09T00:00:00Z,,1908,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
