item_id,statement_guid,property_id,wikidata_value,meta_wikidata_value,external_value,external_url,type
Q153739,,P569,1888-09-16T00:00:00Z,,1886,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q153739,,P569,1887-09-16T00:00:00Z,,1886,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q576570,,P569,1860-01-01T00:00:00Z,,1858,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q325503,,P569,1923-02-26T00:00:00Z,,1915,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q1298270,,P569,1889-12-15T00:00:00Z,,1888,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q1298270,,P569,1887-12-15T00:00:00Z,,1888,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q4072108,,P569,1875-01-27T00:00:00Z,,1873,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q8867,,P569,1927-12-04T00:00:00Z,,1930,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q67897,,P569,1876-06-21T00:00:00Z,,1875,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q156890,,P569,1876-01-02T00:00:00Z,,1870,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q318352,,P569,1832-01-01T00:00:00Z,,1825,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q3504712,,P569,1815-08-13T00:00:00Z,,1816,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q7351596,,P569,1908-10-20T00:00:00Z,,1913,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q7351596,,P569,1910-10-20T00:00:00Z,,1913,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q586843,,P569,1932-01-01T00:00:00Z,,1933,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q518444,,P569,1886-09-22T00:00:00Z,,1888,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q321158,,P569,1921-03-28T00:00:00Z,,1920,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q440673,,P569,1866-05-14T00:00:00Z,,1865,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q686321,,P569,1924-01-01T00:00:00Z,,1926,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q686321,,P569,1924-03-07T00:00:00Z,,1926,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q19595180,,P569,1909-11-30T00:00:00Z,,1910,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q17308840,,P569,1924-05-20T00:00:00Z,,1925,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q932167,,P569,1907-03-03T00:00:00Z,,1908,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q173223,,P569,1845-05-22T00:00:00Z,,1844,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q173223,,P569,1845-01-01T00:00:00Z,,1844,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q441440,,P569,1939-07-20T00:00:00Z,,1937,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q559325,,P569,1820-01-01T00:00:00Z,,1819,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q3059390,,P569,1896-04-16T00:00:00Z,,1899,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
