q_value,value1,value2
Q1000238,760309b4-d6ad-41c5-9c7e-091e2f02532d,2007-04-30T00:00:00Z
Q100028,49bcf4b2-b25a-4d96-9e76-250b9b31a3d3,2009-06-19T00:00:00Z
Q1000698,25ed9edc-1272-4d47-9a78-3554fd30a7df,2015-10-29T00:00:00Z
Q100134,4267d31b-d363-47d1-a8b6-053da0c35db3,1684-02-25T00:00:00Z
Q100249,b985d0f7-b2ce-415e-8b18-074c9b3c3955,2020-06-15T00:00:00Z
Q100258,61cb6907-2f32-4b21-9d94-949e76ff22fe,2011-07-11T00:00:00Z
Q100299,34ff1ca5-278a-4dbe-b59f-8d6e64f17986,1974-11-17T00:00:00Z
Q100309,3cce9261-febf-4890-8a51-12007c1de2a3,1994-12-19T00:00:00Z
Q100316,39c326d3-492e-42d2-a9ad-5b5e28b77bef,1951-01-23T00:00:00Z
Q100316,39c326d3-492e-42d2-a9ad-5b5e28b77bef,1951-01-24T00:00:00Z
Q100337,f2fb7e33-6440-441f-85e5-9b81882b67dc,1994-03-18T00:00:00Z
Q100360,0bb35ba5-9070-4f67-b4da-9ef975e66f9a,1978-01-01T00:00:00Z
Q100378,2489918b-5aec-4773-bf74-3981937b3263,1579-01-01T00:00:00Z
Q1004594,67c449de-e21e-4615-8076-6b2e51cf71f8,1982-11-07T00:00:00Z
Q100464,072f218c-da41-4a7a-b0aa-9aa816dc160c,2011-08-18T00:00:00Z
Q100464,4ec833ea-5c7f-488a-9e60-7c9916750d59,2011-08-18T00:00:00Z
Q100464,661be230-f092-4e64-b5ef-196f4e5f53e7,2011-08-18T00:00:00Z
Q100471,fd81d4d3-d4b0-47d2-b464-0533df4b10c9,2006-02-03T00:00:00Z
Q100634,df0ed0c7-273b-4905-ad09-1a32ec6550a1,1969-05-30T00:00:00Z
Q100650,f75f6dc1-728d-4247-a3df-659df5dcfff9,1996-06-07T00:00:00Z
Q100700,5301c912-d770-4c69-bbb1-137190545de2,2012-07-28T00:00:00Z
Q100708,545b2b8e-8921-479e-98ff-9602ec3e1800,2010-01-01T00:00:00Z
Q100708,545b2b8e-8921-479e-98ff-9602ec3e1800,2010-12-31T00:00:00Z
Q100727,a9da29fd-8c2d-47a7-b91f-66d09894d619,1785-05-09T00:00:00Z
Q100748,73ec8d66-368b-4fdb-bdc8-04c94c5de865,1777-03-23T00:00:00Z
Q100777,34d33ee5-7097-4f28-b30d-b50b667c92e4,1989-01-15T00:00:00Z
Q100799,d9adc5e5-92b3-4136-a066-7b794a5b4eb3,1985-11-02T00:00:00Z
Q100802,b9ab6c8c-2611-4d6f-a771-eea89aa1e95c,1982-12-27T00:00:00Z
Q100855,e2a975fe-8d26-4323-8730-fe07a6e01143,1990-04-01T00:00:00Z
Q100866,9a8483d9-38ae-409b-b541-73b8a5d72737,2003-01-01T00:00:00Z
Q100877,c9915f49-d632-4440-9eff-b28fd00123fd,2011-01-21T00:00:00Z
Q100880,bb546d89-34fb-48bc-9913-8e8ad8486d44,2019-11-22T00:00:00Z
Q100890,d7eaba5f-4ca6-4eb8-94d3-312a3559e811,2009-04-09T00:00:00Z
Q100897,3911ee62-f6a5-4ce6-9274-4c8fecc2f83d,2019-11-05T00:00:00Z
Q100914,0a9642ce-83d7-4c69-81f7-8c2cb8edb0c4,1968-01-01T00:00:00Z
Q100956,568f9772-d729-41f5-8f32-4cf40a85e0fe,2011-08-14T00:00:00Z
Q100989,51112b13-897c-4c08-8bd8-1a0d43111bc7,1971-05-13T00:00:00Z
Q100990,a8063f61-3258-4cc2-983e-63bdae4a5d75,1984-06-29T00:00:00Z
