item_id,statement_guid,property_id,wikidata_value,meta_wikidata_value,external_value,external_url,type
Q100378,Q100378$CDC57C63-B8E8-495D-887B-5CD3ADEEC6D0,P570,1579,Q1985727,1573,https://musicbrainz.org/artist/2489918b-5aec-4773-bf74-3981937b3263,statement
Q100708,Q100708$E68D18D4-1A14-4663-8BD5-8FE50D7CB837,P570,2010-01-01,Q1985727,2010-12-31,https://musicbrainz.org/artist/545b2b8e-8921-479e-98ff-9602ec3e1800,statement
Q100708,Q100708$E68D18D4-1A14-4663-8BD5-8FE50D7CB837,P570,2010-01-01,Q1985727,2010-12-31,https://musicbrainz.org/artist/545b2b8e-8921-479e-98ff-9602ec3e1800,statement
Q100727,Q100727$60AF9612-E9E3-408A-B9FB-01CD22E21C37,P570,1785-05-09,Q1985727,1785-05-05,https://musicbrainz.org/artist/a9da29fd-8c2d-47a7-b91f-66d09894d619,statement
Q100748,Q100748$48E3EB70-B3CF-4ECF-BEDB-C78C7B796F53,P570,1777-03-23,Q1985727,1777-03-26,https://musicbrainz.org/artist/73ec8d66-368b-4fdb-bdc8-04c94c5de865,statement
Q100799,Q100799$623285C4-8A41-4380-B5FA-BF7B1422F022,P570,1985-01-01,Q1985727,1985-11-02,https://musicbrainz.org/artist/d9adc5e5-92b3-4136-a066-7b794a5b4eb3,statement
Q100802,Q100802$0C70093E-8A0F-4B79-86EF-4D4A49FD0C4D,P570,1982-01-01,Q1985727,1982-12-27,https://musicbrainz.org/artist/b9ab6c8c-2611-4d6f-a771-eea89aa1e95c,statement
Q100866,Q100866$FC667E5D-F929-4ED3-88BE-E06490E6FB44,P570,2003-01-01,Q1985727,2003-10-26,https://musicbrainz.org/artist/9a8483d9-38ae-409b-b541-73b8a5d72737,statement
Q101111,Q101111$B9070EA9-092C-427D-8A52-758FA98F7857,P570,1991-01-01,Q1985727,1991-08-27,https://musicbrainz.org/artist/67efcb1a-4623-4676-970f-0f76021ea416,statement
Q101281,Q101281$ac2d6115-47f3-59fe-62af-74bccd5b155b,P570,2015-02-14,Q1985727,2015-02-13,https://musicbrainz.org/artist/29a85df2-c9af-4cd8-b4cc-b292fc39c59a,statement
Q101281,Q101281$ac2d6115-47f3-59fe-62af-74bccd5b155b,P570,2015-02-14,Q1985727,2015-02-13,https://musicbrainz.org/artist/29a85df2-c9af-4cd8-b4cc-b292fc39c59a,statement
Q101308,Q101308$2DB67981-5155-4DE5-B34D-82C4D8661E58,P570,1949-05-17,Q1985727,1949-05-18,https://musicbrainz.org/artist/a77d2df5-96de-49c2-8050-9149fdd70878,statement
Q102347,Q102347$6CABED00-9423-40E1-AFE8-6FF6CFABEED3,P570,1988-01-01,Q1985727,1988-06-13,https://musicbrainz.org/artist/0a826305-8f97-4129-84eb-2b7ffa0a7b67,statement
Q102772,Q102772$569D41A7-2816-4DFB-ABAF-620963F9D539,P570,2018-00-00,Q1985727,2018-06-15,https://musicbrainz.org/artist/4a074804-b42b-4bbd-a15c-51eee6021bfc,statement
Q1045561,Q1045561$40aba23d-492d-b0e2-25d7-849efcc8fb1b,P570,2015-11-14,Q1985727,2015-11-13,https://musicbrainz.org/artist/fb2cfdc3-1085-41fc-9d5a-24deb210347f,statement
Q105080310,Q105080310$9f003664-4726-877c-19f8-50c9a7bb20b9,P570,2020-03-19,Q1985727,2010-03-19,https://musicbrainz.org/artist/efcfd5b1-0fd4-4425-ac1d-fd23671decbf,statement
Q105204,Q105204$B68289F1-9656-4F55-881C-6DED8293D556,P570,1724-11-10,Q1985727,1724-11-30,https://musicbrainz.org/artist/99f8f003-157f-41eb-9632-0a0bdd2c9b35,statement
Q106434,q106434$A487128F-0E9D-40CC-A6FE-781D47ED5783,P570,1920-10-02,Q1985727,1920-10-20,https://musicbrainz.org/artist/e3d5cfcd-e42b-411d-add2-716a5029f59b,statement
Q107743,Q107743$F8970136-C654-41FE-B0B1-49ABD7014FD4,P570,1976-12-01,Q1985727,1976-12-02,https://musicbrainz.org/artist/4ee887bf-2c5b-4443-894b-01b0849f4021,statement
Q107883,Q107883$5E0129B9-AB7B-412D-A0C1-F7CA8ABA01B5,P570,1949-07-12,Q1985727,1949-07-02,https://musicbrainz.org/artist/4683740b-0b85-4e5d-aafb-5a0f7492e8d1,statement
Q1084691,Q1084691$C58855B8-E585-4455-AF0A-D098186AADC2,P570,2023-02-19,Q1985727,2023-02-18,https://musicbrainz.org/artist/3a244f5a-8d2f-4f45-bba8-1e620508a239,statement
Q111318,q111318$052479CF-C95B-481A-875E-30380C3B053D,P570,2013-03-13,Q1985727,2013-03-17,https://musicbrainz.org/artist/4d907d14-c42f-46af-96b8-cf83f136696c,statement
Q11291598,Q11291598$E2436086-6E46-4492-9C98-869A649F5835,P570,1985-08-07,Q1985727,1985-08-01,https://musicbrainz.org/artist/ed27ce99-db4c-41bd-8164-768ab8ab8598,statement
Q11295779,Q11295779$9E644BE7-AF59-4DE4-84ED-0430D0F1B49C,P570,2009-00-00,Q1985727,2009-04-22,https://musicbrainz.org/artist/5a7faa6b-0593-4768-9137-25cb30145576,statement
Q113160,Q113160$559B4BA9-F20E-4ACA-8A0A-80538B784EE5,P570,1750-09-17,Q1985727,1750-09-15,https://musicbrainz.org/artist/3ac46bb0-2ba8-4f3e-9c55-92c2d1ad0f2f,statement
Q1133432,Q1133432$3DF093D9-78C4-48F1-BC17-796E776CD44F,P570,1997-12-01,Q1985727,1997-10-11,https://musicbrainz.org/artist/f1c82fc8-7593-42f3-b632-f5be3e08cef8,statement
Q11852767,Q11852767$ee4873bd-4629-d40b-eeee-5ad8008017c9,P570,2013-02-05,Q1985727,2013-02-06,https://musicbrainz.org/artist/252979e5-8bef-4df9-a259-a4400d741199,statement
Q119992,Q119992$F6490734-3B9D-4C2D-86E5-AB569069BDC6,P570,1554,Q1985727,1570,https://musicbrainz.org/artist/48786943-e56a-4368-8e27-c58078550723,statement
Q1201413,Q1201413$5CABB543-3377-43D3-872C-4CAAF5884EAC,P570,2016-06-17,Q1985727,2016-06-18,https://musicbrainz.org/artist/f840c701-3fd7-427c-86a5-b50681b8dd60,statement
