q_value,value1,value2
Q1000171,97a6648f-142b-455d-b5b5-b86510dfbeac,1958-08-13T00:00:00Z
Q100154338,9580d024-0d89-4e7c-944a-147f26bd4ab1,1996-08-06T00:00:00Z
Q100268282,76808776-b501-4153-8a97-e8341568e015,1998-01-30T00:00:00Z
Q100385482,a4078df4-92bd-497d-af71-d38558cb9bb2,1980-01-01T00:00:00Z
Q100385579,8367ba27-cc19-4ed8-9874-13a4274ec2a6,1984-05-02T00:00:00Z
Q100385731,a71b9015-987d-4867-8678-b78a1cfb7b89,1983-11-19T00:00:00Z
Q100385863,d58c7db8-1d49-44a5-ae90-a8928966293f,1991-04-21T00:00:00Z
Q100385871,1cd245ac-3ff6-4e34-8300-ed5a19b9cf7f,1990-01-01T00:00:00Z
Q100409,c2deff81-2f80-4993-a1ec-fef65f8bb842,1972-01-01T00:00:00Z
Q100417863,eee7986c-31e8-4f26-9bb5-4d44f3aae71b,1961-02-10T00:00:00Z
Q100663057,9164342b-eaf6-45c4-af32-ecdd43a54903,1988-05-22T00:00:00Z
Q100663057,d549c44e-4d67-4f42-8ea7-e21b97f7abbc,1988-05-22T00:00:00Z
Q1008154,22197786-8c0d-49f2-b0fc-4e812821090d,1959-11-20T00:00:00Z
Q1008634,169c58ed-0082-469d-98f6-797e3bc049b1,1958-08-16T00:00:00Z
Q1008988,c551337c-d202-4df1-81ba-b25eb3c6c367,1937-04-21T00:00:00Z
Q1009050,290b9a67-bef4-43f1-92cb-7e9a75f8e8dc,1940-07-14T00:00:00Z
Q100969202,b2e186f3-d757-4763-aa15-777cef63a9ad,1947-02-10T00:00:00Z
Q1010602,8547701d-0834-42ba-b08c-911b71eb1427,1939-01-25T00:00:00Z
Q101097165,1daf4865-e6e2-4598-81cd-11b7162a5107,1935-06-16T00:00:00Z
Q101251331,647b569d-ed06-4cf7-812f-43b1b30077e4,1990-08-16T00:00:00Z
Q101345301,ed2c5fb3-fa3e-48c1-84a4-a85d4763dd26,2002-08-14T00:00:00Z
Q101563044,f8d57a72-4cf6-4887-86cb-59aa27bba93a,1991-01-01T00:00:00Z
Q101859660,1d61644b-1171-4e64-b2fd-cecd1c3c24a6,1943-02-10T00:00:00Z
Q101867053,c89c2b82-d9a1-4cdf-ac0a-39de5ad73675,1974-04-01T00:00:00Z
Q101868019,c9b584f8-301a-4859-b9a6-61c2c41486f7,1993-08-26T00:00:00Z
Q102106053,976d3b2e-776b-4a41-9747-b7a138ffb38b,1970-10-23T00:00:00Z
Q102181110,1333ff03-b1ad-41dd-958c-848e6f2d7023,1960-05-15T00:00:00Z
Q102279726,f1888ee5-10cc-4d5b-b1e4-5349fc1b01d2,1956-01-01T00:00:00Z
Q102283043,54e5cf9e-6d36-448a-9e4d-f48f6e3ca784,1960-01-01T00:00:00Z
Q102286567,bce9a8a7-1d61-4a66-9888-362e3b396ca9,1936-01-01T00:00:00Z
Q102288358,ac09752d-05b3-4e9c-b22e-8e9323dfea43,1929-01-16T00:00:00Z
Q10316219,d46c356f-ff34-4cdd-9d51-29edf7494d25,1925-02-18T00:00:00Z
Q1035295,2e076a73-2b77-41e9-86a2-e3c14c7496c1,1972-11-02T00:00:00Z
Q10363097,4a03a76f-de50-4079-874f-d012fe3cdd03,2000-01-01T00:00:00Z
Q103763949,fc4c57fc-2c06-4505-84d1-19226651ef37,1995-11-25T00:00:00Z
Q10391652,5634c674-5193-4e0b-9115-72c6cf50c0e1,1959-01-01T00:00:00Z
Q1039335,186ba6b0-a18c-428f-9804-7416d26dc067,1958-09-28T00:00:00Z
Q1039585,5153bdb7-ee2a-4858-9599-75889c21eeb5,1922-02-11T00:00:00Z
Q104050388,47950e13-30c4-4f6c-939c-dcd8df51b778,1915-01-01T00:00:00Z
Q1040798,03ffa5fc-5e7e-4e0e-b628-4e462556cc8b,1916-09-18T00:00:00Z
Q1041527,4c84b5f2-f682-4138-b2f2-c233a10e1f3a,1935-08-24T00:00:00Z
Q1041808,9a6447f5-ae3d-461b-b360-a6b24adf12c7,1952-03-21T00:00:00Z
Q1042251,0acdb5e7-9271-4fd9-8418-12d4938d23a4,1957-05-25T00:00:00Z
Q1042251,0acdb5e7-9271-4fd9-8418-12d4938d23a4,1957-06-25T00:00:00Z
Q104234360,6b392979-27d7-42d3-a33f-448919c43c8f,1953-01-01T00:00:00Z
Q1042352,24957b28-0f25-4964-8e00-9f353c45d61a,1956-01-01T00:00:00Z
Q1042352,24957b28-0f25-4964-8e00-9f353c45d61a,1956-06-19T00:00:00Z
