item_id,statement_guid,property_id,wikidata_value,meta_wikidata_value,external_value,external_url,type
Q101097165,Q101097165$6b7e4fc9-424c-e456-8458-2c70cf65a072,P569,1935-06-16,Q1985727,1935-06-15,https://musicbrainz.org/artist/1daf4865-e6e2-4598-81cd-11b7162a5107,statement
Q102288358,Q102288358$8dd461cb-4199-39a3-6308-dfb366be5329,P569,1929,Q1985727,1935,https://musicbrainz.org/artist/ac09752d-05b3-4e9c-b22e-8e9323dfea43,statement
Q105988405,Q105988405$E07D3E42-9683-4282-A044-A3CD78DEBA45,P569,1951-01-01,Q1985727,1951-12-10,https://musicbrainz.org/artist/a64109f7-b699-4290-b33e-fab5a043f198,statement
Q106594453,Q106594453$b024f839-4006-782a-a4ae-281dc1f2e0f4,P569,1993-00-00,Q1985727,1993-06-22,https://musicbrainz.org/artist/3b55e5e7-0699-49d2-a2bd-f34269b1184c,statement
Q108281549,Q108281549$32954063-452c-ce87-4e44-39a973effdf6,P569,1973-00-00,Q1985727,1973-07-24,https://musicbrainz.org/artist/6b27ab6f-ce68-4129-944b-1e12a4878690,statement
Q108327145,Q108327145$964B6F52-1BBE-484B-BED4-0CC318AA344E,P569,1969-01-01,Q1985727,1969-03-18,https://musicbrainz.org/artist/6a9669c2-a1de-4bd8-ac58-5009881ae877,statement
Q108513861,Q108513861$39045f55-49c0-7ee5-0393-d03870a25d2a,P569,2000-10-23,Q1985727,2000-10-20,https://musicbrainz.org/artist/ecb28706-2e8e-49ac-9aea-8f8e4aa70514,statement
Q10862273,Q10862273$8969D149-B05B-46E9-BE1B-87AD2225E4EC,P569,1979-02-07,Q1985727,1975-02-07,https://musicbrainz.org/artist/30a8f826-d700-4035-8ebd-9c3c8098f09c,statement
Q110616376,Q110616376$5c5c4421-4d70-dae1-9910-ba5bc5a23fa2,P569,2002-00-00,Q1985727,2002-08-05,https://musicbrainz.org/artist/d986918d-7b78-4e1c-971c-11910e00a109,statement
Q1111535,Q1111535$B880BDFC-C21A-4B87-B34D-2B53688FEB16,P569,1980-01-01,Q1985727,1980-11-29,https://musicbrainz.org/artist/925df8c2-3a3d-4bf5-afde-eb272276b9c7,statement
Q112452228,Q112452228$44AB3F48-747F-4E4A-97EC-E1EF83F33EA3,P569,1875-00-00,Q1985727,1875-02-13,https://musicbrainz.org/artist/c75f8769-0a88-4a3b-8db9-d5c0ea7ecb3a,statement
