item_id,statement_guid,property_id,wikidata_value,meta_wikidata_value,external_value,external_url,type
Q1024747,Q1024747$165913E8-FE01-4A1C-8B0D-7CE2F299D051,P571,1973,Q1985727,1982,https://musicbrainz.org/artist/a5670125-9052-4163-93c4-3780c392e386,statement
Q104659731,Q104659731$9da26546-4fa8-cbd9-c2dd-89f1151a9cd8,P571,1982,Q1985727,1977,https://musicbrainz.org/artist/98b23f01-9833-48df-8e2a-ca61b72a9352,statement
Q104759060,Q104759060$572033f9-4dc7-eccb-81fb-0837a938f0c1,P571,2015,Q1985727,2012,https://musicbrainz.org/artist/6a125082-74c4-4a1b-bf4b-d91d9cafde4c,statement
Q1049555,Q1049555$6075BECA-CDA9-45D1-9A3B-79B0853E8E90,P571,1992,Q1985727,1995,https://musicbrainz.org/artist/88a4cd4e-5dee-4153-8462-0d5e43c75f47,statement
Q107013189,Q107013189$874e8658-47e7-a706-aff8-b599cd4f39ec,P571,2021-01-01,Q1985727,2021-05-22,https://musicbrainz.org/artist/9055fca5-69bc-4d47-b569-ab2012a19565,statement
Q1079001,Q1079001$DE1E3363-FBDE-4109-BA9C-7A0A8D46ED22,P571,1963,Q1985727,1964,https://musicbrainz.org/artist/c469a897-dfd3-43cf-a252-8e364b0c7bb3,statement
Q108219457,Q108219457$395712f7-4018-607a-3754-f8b1b51438de,P571,2018-01-01,Q1985727,2018-08-11,https://musicbrainz.org/artist/a865f377-3478-4adb-a3e9-01720dc94ab7,statement
Q10853152,Q10853152$222E7FA7-E845-4D09-8FE1-CAAA47D7E368,P571,2022,Q1985727,2011,https://musicbrainz.org/artist/9c456553-985b-4df6-b7c4-ae232172bd01,statement
Q1087300,Q1087300$0BE708B0-0E5D-40F7-9B9A-C7C336656727,P571,1999,Q1985727,1997,https://musicbrainz.org/artist/7c158ea8-c0aa-410e-bdc1-20bba9759577,statement
Q1092373,Q1092373$952507D5-AB6F-4CF7-AF95-0FF368E34ADB,P571,1995,Q1985727,2000,https://musicbrainz.org/artist/538ceaf9-b638-4f87-bace-b8ba884629b5,statement
Q10954099,Q10954099$CC6BB7C5-1B2D-4817-9C91-879C23DF38C2,P571,2007,Q1985727,2008,https://musicbrainz.org/artist/00aecc8f-7adb-417f-94e7-26f12f814adb,statement
Q110892335,Q110892335$7fd4685b-43a6-89a3-05a0-f1820b1e2d8c,P571,1954,Q1985727,1956,https://musicbrainz.org/artist/e818565b-0341-4d69-bcf8-32d7b21f8c48,statement
Q111371335,Q111371335$eee4f1ab-4582-1d2f-10af-7a369178aa82,P571,2014-01-01,Q1985727,2017-03-01,https://musicbrainz.org/artist/9e573595-b9bb-4839-9877-c658234b3776,statement
Q111692439,Q111692439$0293b3dd-4ecd-58ee-2f83-8dad60af7def,P571,2015,Q1985727,2017,https://musicbrainz.org/artist/fc6b2bc2-d50d-46b4-8ac1-edbb414d9719,statement
Q111693580,Q111693580$5ad7cf26-40ac-b72c-6f9b-b5562ac47f2c,P571,2015,Q1985727,2014,https://musicbrainz.org/artist/10fbfd83-526a-4a10-867a-fbac3b66925a,statement
Q111712356,Q111712356$442e830c-41de-ad62-814d-e513a6b9afa4,P571,2017-01-01,Q1985727,2017-08-01,https://musicbrainz.org/artist/1510b3fd-c036-4439-a171-c192b7005750,statement
Q1123510,Q1123510$D17D83BA-B40D-47E5-80C2-D2050F18E63B,P571,2003,Q1985727,2002,https://musicbrainz.org/artist/46d18823-6a15-49ee-8376-c5f7a49530a6,statement
Q1129579,Q1129579$CE70EA02-D571-4AD6-8A47-1D9AE5ADA9F9,P571,2009,Q1985727,2007,https://musicbrainz.org/artist/3d09c1f9-846b-4e34-8936-07a8f0a6c620,statement
Q1132434,Q1132434$CA49D2D9-38E7-497E-8747-211CA76CCB90,P571,1959,Q1985727,1960,https://musicbrainz.org/artist/a9399880-5587-457c-bc87-8c81fcf57cb1,statement
Q1134411,Q1134411$5184c149-4e9f-1a73-d0f0-99f9e18a9e0b,P571,1996,Q1985727,1998,https://musicbrainz.org/artist/ffe9ec08-6b6b-4993-9394-e280b429dbfd,statement
Q113457422,Q113457422$39360bb1-4c7e-f8d5-975c-ae387e4eb893,P571,2007,Q1985727,2000,https://musicbrainz.org/artist/198631e4-ecf9-4d79-88f9-d543c49da551,statement
Q113878754,Q113878754$401b9004-466e-c0ea-6671-6fb2f0f30238,P571,2016-01-01,Q1985727,2016-11-04,https://musicbrainz.org/artist/1819e6e8-fee6-48df-8e9c-8949560d6f43,statement
Q1140055,Q1140055$C021A928-EA0B-4620-B90D-F09BC7DE673A,P571,2005,Q1985727,2004,https://musicbrainz.org/artist/a9b6eb5f-a00a-4f87-8af4-44191a28cdcc,statement
Q1141454,Q1141454$c4fe92b5-401d-c226-53b1-a76d0a5ebe08,P571,1957,Q1985727,1958,https://musicbrainz.org/artist/6da6a053-618f-4f17-aea1-c8075bd8cc2d,statement
Q1141495,Q1141495$5B860DF4-74FD-43F6-8DA2-2AB993986759,P571,1980,Q1985727,1985,https://musicbrainz.org/artist/01f4fb92-6bf0-4de5-83dc-3fe194e763bf,statement
Q1142871,Q1142871$1679E048-5E9C-4D6D-8224-3595194EAEE9,P571,2001,Q1985727,2000,https://musicbrainz.org/artist/7c765661-2d55-495b-81f1-c7e971d9dd31,statement
Q1145885,Q1145885$D67C3494-674A-4621-A9AA-158B2BBD5C2C,P571,1990,Q1985727,1989,https://musicbrainz.org/artist/104d65cc-ac4e-4351-b62d-32438c84259f,statement
