item_id,statement_guid,property_id,wikidata_value,meta_wikidata_value,external_value,external_url,type
Q211194,,P2962,,,No title,https://ratings.fide.com/profile/1201271,statement
Q111461115,,P2962,,,FIDE Master,https://ratings.fide.com/profile/44523793,statement
Q111461361,,P2962,,,Woman FIDE Master,https://ratings.fide.com/profile/2134470,statement
Q113393895,,P2962,,,FIDE Master,https://ratings.fide.com/profile/30940192,statement
Q115556931,,P2962,,,FIDE Master,https://ratings.fide.com/profile/35066188,statement
Q5058240,,P2962,,,FIDE Master,https://ratings.fide.com/profile/1051563,statement
Q28479443,,P2962,,,Woman Intl. Master,https://ratings.fide.com/profile/24119059,statement
Q28479870,,P2962,,,Woman Grandmaster,https://ratings.fide.com/profile/3508072,statement
Q28479870,,P2962,,,Woman Grandmaster,https://ratings.fide.com/profile/3508072,statement
Q15939101,,P2962,,,Intl. Master,https://ratings.fide.com/profile/1179250,statement
Q47543946,,P2962,,,FIDE Master,https://ratings.fide.com/profile/13514075,statement
Q60666477,,P2962,,,Grandmaster,https://ratings.fide.com/profile/2099438,statement
Q60666477,,P2962,,,Grandmaster,https://ratings.fide.com/profile/2099438,statement
Q27527275,,P2962,,,Intl. Master,https://ratings.fide.com/profile/32060777,statement
Q71313230,,P2962,,,No title,https://ratings.fide.com/profile/14105578,statement
Q27524931,,P2962,,,Intl. Master,https://ratings.fide.com/profile/14200554,statement
Q71315916,,P2962,,,Intl. Master,https://ratings.fide.com/profile/2046318,statement
Q71315819,,P2962,,,Intl. Master,https://ratings.fide.com/profile/4405790,statement
Q111129165,,P2962,,,FIDE Master,https://ratings.fide.com/profile/13314823,statement
Q71316992,,P2962,,,Intl. Master,https://ratings.fide.com/profile/675938,statement
Q71319015,,P2962,,,Intl. Master,https://ratings.fide.com/profile/8703884,statement
Q108314152,,P2962,,,FIDE Master,https://ratings.fide.com/profile/1260898,statement
Q108413731,,P2962,,,FIDE Master,https://ratings.fide.com/profile/30919860,statement
Q108413731,,P2962,,,FIDE Master,https://ratings.fide.com/profile/30919860,statement
Q108413731,,P2962,,,FIDE Master,https://ratings.fide.com/profile/30919860,statement
Q27526547,,P2962,,,Intl. Master,https://ratings.fide.com/profile/414425,statement
Q71319129,,P2962,,,Intl. Master,https://ratings.fide.com/profile/45102422,statement
Q83732441,,P2962,,,Woman FIDE Master,https://ratings.fide.com/profile/54180058,statement
Q108380033,,P2962,,,FIDE Master,https://ratings.fide.com/profile/417092,statement
Q108400770,,P2962,,,Woman FIDE Master,https://ratings.fide.com/profile/4701585,statement
Q108412242,,P2962,,,FIDE Master,https://ratings.fide.com/profile/54123070,statement
Q108414391,,P2962,,,FIDE Master,https://ratings.fide.com/profile/24278670,statement
Q108375927,,P2962,,,FIDE Master,https://ratings.fide.com/profile/1255002,statement
Q108377466,,P2962,,,Woman FIDE Master,https://ratings.fide.com/profile/13730096,statement
Q108413660,,P2962,,,FIDE Master,https://ratings.fide.com/profile/4308174,statement
Q120176242,,P2962,,,Woman FIDE Master,https://ratings.fide.com/profile/30975026,statement
Q120176242,,P2962,,,Woman FIDE Master,https://ratings.fide.com/profile/30975026,statement
Q47543954,,P2962,,,FIDE Master,https://ratings.fide.com/profile/791903,statement
Q108417629,,P2962,,,Woman Intl. Master,https://ratings.fide.com/profile/13719688,statement
Q108448165,,P2962,,,Intl. Master,https://ratings.fide.com/profile/12993093,statement
Q108572380,,P2962,,,Woman FIDE Master,https://ratings.fide.com/profile/1234803,statement
Q125261362,,P2962,,,No title,https://ratings.fide.com/profile/4907051,statement
Q125261388,,P2962,,,No title,https://ratings.fide.com/profile/904678,statement
Q125261661,,P2962,,,No title,https://ratings.fide.com/profile/30964717,statement
Q113088066,,P2962,,,No title,https://ratings.fide.com/profile/12572896,statement
Q71319409,,P2962,,,Intl. Master,https://ratings.fide.com/profile/2620049,statement
Q71319409,,P2962,,,Intl. Master,https://ratings.fide.com/profile/2620049,statement
Q28480749,,P2962,,,Woman Intl. Master,https://ratings.fide.com/profile/8102937,statement
Q28480749,,P2962,,,Woman Intl. Master,https://ratings.fide.com/profile/8102937,statement
Q110359344,,P2962,,,FIDE Master,https://ratings.fide.com/profile/36017450,statement
Q112199154,,P2962,,,FIDE Master,https://ratings.fide.com/profile/3203131,statement
Q115016162,,P2962,,,FIDE Master,https://ratings.fide.com/profile/4682041,statement
Q124711161,,P2962,,,No title,https://ratings.fide.com/profile/2265907,statement
Q28479931,,P2962,,,Woman Intl. Master,https://ratings.fide.com/profile/4120841,statement
Q27597915,,P2962,,,FIDE Master,https://ratings.fide.com/profile/2080788,statement
Q27597915,,P2962,,,FIDE Master,https://ratings.fide.com/profile/2080788,statement
Q71319653,,P2962,,,Intl. Master,https://ratings.fide.com/profile/3822508,statement
Q108311474,,P2962,,,FIDE Master,https://ratings.fide.com/profile/44576692,statement
Q108335493,,P2962,,,FIDE Master,https://ratings.fide.com/profile/12503452,statement
Q108410939,,P2962,,,FIDE Master,https://ratings.fide.com/profile/12808792,statement
Q47074529,,P2962,,,No title,https://ratings.fide.com/profile/4695330,statement
Q47543945,,P2962,,,Intl. Master,https://ratings.fide.com/profile/2917173,statement
Q27528784,,P2962,,,FIDE Master,https://ratings.fide.com/profile/5106850,statement
Q27531596,,P2962,,,Intl. Master,https://ratings.fide.com/profile/4689542,statement
Q27526843,,P2962,,,Intl. Master,https://ratings.fide.com/profile/12921742,statement
Q109399114,,P2962,,,FIDE Master,https://ratings.fide.com/profile/34514570,statement
Q71299050,,P2962,,,Intl. Master,https://ratings.fide.com/profile/2100703,statement
Q114345208,,P2962,,,Woman Intl. Master,https://ratings.fide.com/profile/3836509,statement
Q114346111,,P2962,,,FIDE Master,https://ratings.fide.com/profile/25748580,statement
Q71319432,,P2962,,,Intl. Master,https://ratings.fide.com/profile/3822656,statement
Q71319467,,P2962,,,Intl. Master,https://ratings.fide.com/profile/2620090,statement
Q71319467,,P2962,,,Intl. Master,https://ratings.fide.com/profile/2620090,statement
Q108299949,,P2962,,,Woman FIDE Master,https://ratings.fide.com/profile/32092253,statement
Q108404220,,P2962,,,Woman FIDE Master,https://ratings.fide.com/profile/21818754,statement
Q108410058,,P2962,,,FIDE Master,https://ratings.fide.com/profile/2828995,statement
Q108411974,,P2962,,,Intl. Master,https://ratings.fide.com/profile/30931649,statement
Q108411974,,P2962,,,Intl. Master,https://ratings.fide.com/profile/30931649,statement
Q71318296,,P2962,,,Intl. Master,https://ratings.fide.com/profile/2611902,statement
Q71318751,,P2962,,,Intl. Master,https://ratings.fide.com/profile/13306707,statement
Q71319111,,P2962,,,Intl. Master,https://ratings.fide.com/profile/35011685,statement
Q4523127,,P2962,,,No title,https://ratings.fide.com/profile/34147850,statement
Q71318313,,P2962,,,Intl. Master,https://ratings.fide.com/profile/14207346,statement
Q71319616,,P2962,,,Intl. Master,https://ratings.fide.com/profile/34171980,statement
Q71319616,,P2962,,,Intl. Master,https://ratings.fide.com/profile/34171980,statement
Q71319648,,P2962,,,Intl. Master,https://ratings.fide.com/profile/9953698,statement
Q107207375,,P2962,,,Woman Grandmaster,https://ratings.fide.com/profile/14204487,statement
Q42296431,,P2962,,,Intl. Master,https://ratings.fide.com/profile/13403052,statement
Q42296431,,P2962,,,Intl. Master,https://ratings.fide.com/profile/13403052,statement
Q42296431,,P2962,,,Intl. Master,https://ratings.fide.com/profile/13403052,statement
Q42296431,,P2962,,,Intl. Master,https://ratings.fide.com/profile/13403052,statement
Q71315856,,P2962,,,Intl. Master,https://ratings.fide.com/profile/3903648,statement
Q71315856,,P2962,,,Intl. Master,https://ratings.fide.com/profile/3903648,statement
Q108414486,,P2962,,,FIDE Master,https://ratings.fide.com/profile/10211888,statement
Q109392073,,P2962,,,FIDE Master,https://ratings.fide.com/profile/14922967,statement
Q299699,,P2962,,,Woman Honorary Grandmaster,https://ratings.fide.com/profile/1001710,statement
Q108437021,,P2962,,,Intl. Master,https://ratings.fide.com/profile/2188562,statement
Q109426582,,P2962,,,FIDE Master,https://ratings.fide.com/profile/45095248,statement
Q109426582,,P2962,,,FIDE Master,https://ratings.fide.com/profile/45095248,statement
Q109426582,,P2962,,,FIDE Master,https://ratings.fide.com/profile/45095248,statement
Q108379240,,P2962,,,Intl. Master,https://ratings.fide.com/profile/36074160,statement
Q108379240,,P2962,,,Intl. Master,https://ratings.fide.com/profile/36074160,statement
Q108417394,,P2962,,,Woman FIDE Master,https://ratings.fide.com/profile/14414937,statement
Q115959844,,P2962,,,Intl. Master,https://ratings.fide.com/profile/3319113,statement
Q28480800,,P2962,,,Woman Intl. Master,https://ratings.fide.com/profile/4431022,statement
Q27523212,,P2962,,,Grandmaster,https://ratings.fide.com/profile/14001128,statement
Q27523212,,P2962,,,Grandmaster,https://ratings.fide.com/profile/14001128,statement
Q110358776,,P2962,,,FIDE Master,https://ratings.fide.com/profile/14633264,statement
Q4230374,,P2962,,,Woman Grandmaster,https://ratings.fide.com/profile/910805,statement
Q28479736,,P2962,,,Woman Intl. Master,https://ratings.fide.com/profile/25019872,statement
Q28479736,,P2962,,,Woman Intl. Master,https://ratings.fide.com/profile/25019872,statement
Q27597995,,P2962,,,Woman Grandmaster,https://ratings.fide.com/profile/3507831,statement
Q27597995,,P2962,,,Woman Grandmaster,https://ratings.fide.com/profile/3507831,statement
Q27530020,,P2962,,,Intl. Master,https://ratings.fide.com/profile/24130583,statement
Q109422681,,P2962,,,Intl. Master,https://ratings.fide.com/profile/5727413,statement
Q27579418,,P2962,,,Grandmaster,https://ratings.fide.com/profile/8103178,statement
Q27579418,,P2962,,,Grandmaster,https://ratings.fide.com/profile/8103178,statement
Q108365780,,P2962,,,Intl. Master,https://ratings.fide.com/profile/25095927,statement
Q108414382,,P2962,,,FIDE Master,https://ratings.fide.com/profile/30946930,statement
Q108596960,,P2962,,,FIDE Master,https://ratings.fide.com/profile/3706575,statement
Q114983607,,P2962,,,Woman FIDE Master,https://ratings.fide.com/profile/2634155,statement
Q114984109,,P2962,,,Intl. Master,https://ratings.fide.com/profile/12412279,statement
Q71317222,,P2962,,,Intl. Master,https://ratings.fide.com/profile/3222500,statement
Q71318740,,P2962,,,Intl. Master,https://ratings.fide.com/profile/4277023,statement
Q71319082,,P2962,,,Intl. Master,https://ratings.fide.com/profile/1930087,statement
Q71319560,,P2962,,,Intl. Master,https://ratings.fide.com/profile/5123119,statement
Q71319560,,P2962,,,Intl. Master,https://ratings.fide.com/profile/5123119,statement
Q71319571,,P2962,,,Intl. Master,https://ratings.fide.com/profile/2088215,statement
Q71319621,,P2962,,,Intl. Master,https://ratings.fide.com/profile/958980,statement
Q108366194,,P2962,,,Intl. Master,https://ratings.fide.com/profile/30919495,statement
Q28479820,,P2962,,,FIDE Master,https://ratings.fide.com/profile/24173770,statement
Q28479820,,P2962,,,FIDE Master,https://ratings.fide.com/profile/24173770,statement
Q28479863,,P2962,,,FIDE Master,https://ratings.fide.com/profile/3505189,statement
Q47543960,,P2962,,,Woman Intl. Master,https://ratings.fide.com/profile/777765,statement
Q50347390,,P2962,,,No title,https://ratings.fide.com/profile/910260,statement
Q66371348,,P2962,,,Intl. Master,https://ratings.fide.com/profile/421669,statement
Q71318348,,P2962,,,Intl. Master,https://ratings.fide.com/profile/7905637,statement
Q9155719,,P2962,,,Woman FIDE Master,https://ratings.fide.com/profile/1126423,statement
Q28479560,,P2962,,,FIDE Master,https://ratings.fide.com/profile/2124807,statement
Q28479560,,P2962,,,FIDE Master,https://ratings.fide.com/profile/2124807,statement
Q27525210,,P2962,,,Intl. Master,https://ratings.fide.com/profile/13408798,statement
Q27525210,,P2962,,,Intl. Master,https://ratings.fide.com/profile/13408798,statement
Q108662675,,P2962,,,FIDE Master,https://ratings.fide.com/profile/13203088,statement
Q108436138,,P2962,,,FIDE Master,https://ratings.fide.com/profile/1735560,statement
