item_id,statement_guid,property_id,wikidata_value,meta_wikidata_value,external_value,external_url,type
Q153739,Q153739$3139B200-4F69-9044-A084-3E696E031CBA,P569,1888-09-16T00:00:00Z,,1886,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q153739,Q153739$CE1D2C6D-7814-4FA5-90BD-44F9BED8E414,P569,1887-09-16T00:00:00Z,,1886,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q576570,,P569,,,1858,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q325503,Q325503$D59F0DE3-2BC4-45BD-970F-A8FC9BE73D3E,P569,1923-02-26T00:00:00Z,,1915,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q1298270,Q1298270$7511E9D9-5FB2-4080-8287-8BA9B70CB97A,P569,1889-12-15T00:00:00Z,,1888,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q1298270,Q1298270$BB92F17E-4AC7-4BFB-F82E-62E88240C32B,P569,1887-12-15T00:00:00Z,,1888,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q4072108,Q4072108$AC39C782-8248-43A6-9694-C0CD96ACC172,P569,1875-01-27T00:00:00Z,,1873,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q8867,Q8867$4EA4CB5F-21E8-482E-B6BC-E28305B2AA4C,P569,1927-12-04T00:00:00Z,,1930,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q67897,Q67897$A31CCF8B-B6A7-4665-850F-783377A9A4E2,P569,1876-06-21T00:00:00Z,,1875,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q156890,Q156890$EA910E47-4DC8-9E17-8E50-7654AB3BD7E5,P569,1876-01-02T00:00:00Z,,1870,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q318352,Q318352$46C9A2B3-3ED0-4EBC-AE8C-ECCCA3514A4F,P569,1832-01-01T00:00:00Z,,1825,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
