item_id,statement_guid,property_id,wikidata_value,meta_wikidata_value,external_value,external_url,type
Q71244,Q71244$6A9396BB-42A4-412D-B7E6-30D40B05E695,P570,1889-12-22T00:00:00Z,,1882,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q318352,Q318352$0DF98C15-CE5B-4283-81A9-989C02F0D36D,P570,1909-01-29T00:00:00Z,,1903,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q318352,Q318352$5ACDC149-1493-48A0-9D84-43C6127A50F8,P570,1909-01-09T00:00:00Z,,1903,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q2178796,Q2178796$F77CD8DB-10EA-4E0A-A963-8099DA6146B7,P570,1934-02-27T00:00:00Z,,1909,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q2144563,Q2144563$5F538FAF-5763-4C50-A701-D1F599ADE4AE,P570,1986-12-06T00:00:00Z,,1987,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q570353,Q570353$06D1768F-B301-40AC-9E03-324D80263C99,P570,1981-10-23T00:00:00Z,,1983,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q454568,Q454568$8A6C13EC-4D8A-5371-9EE1-985E58B7BAFF,P570,1947-03-30T00:00:00Z,,1945,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q737913,Q737913$BD748E5B-4651-417D-A988-097DFCC01005,P570,1991-12-12T00:00:00Z,,1992,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q96752,Q96752$CE953E23-F88D-4A23-BB51-8922ABE05DEE,P570,1971-12-31T00:00:00Z,,1972,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q3760455,Q3760455$BE210B00-3083-4A7E-8436-EB620178FB32,P570,1903-01-01T00:00:00Z,,1902,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q551902,Q551902$31549F85-F4CC-47DC-B170-D66F2B8B20D1,P570,2007-10-31T00:00:00Z,,2001,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
