q_value,value1,value2
Q100599254,2e111d6d-fce9-46ff-b33a-7eed7300f9d4,2012-01-01T00:00:00Z
Q1008449,fe143dee-8f52-4e70-9dce-2770a4c8a057,2008-01-01T00:00:00Z
Q1010493,186e5799-e9e8-40bd-8007-255d918a1dda,1972-01-01T00:00:00Z
Q101052801,362895c7-9d01-4afe-b17c-2ba9a21f4d30,2005-01-01T00:00:00Z
Q1017202,95c4e9ef-291b-4f94-8bc9-2b00e76eacb0,2006-01-01T00:00:00Z
Q101949361,34e3cea6-98ca-41d3-897d-af606fe28a32,2004-01-01T00:00:00Z
Q102046406,93ea7634-4612-45da-8262-e2d28ea51953,2015-01-01T00:00:00Z
Q1022454,5d3a61cd-1b31-4a4f-9194-8a0bd59d871a,1977-01-01T00:00:00Z
Q1024747,439a29ad-f4ef-4857-a7cd-3d4a551056c8,1973-01-01T00:00:00Z
Q1024747,a5670125-9052-4163-93c4-3780c392e386,1973-01-01T00:00:00Z
Q1026092,bb9b2f6f-0cdd-45e2-88b2-e04c13c3d4f6,2005-01-01T00:00:00Z
Q1028565,94219793-a46b-4c39-9397-e05ad633f32d,1996-01-01T00:00:00Z
Q1031228,8fab4688-d52e-4be5-a10f-3234014c43fc,1975-01-01T00:00:00Z
Q1032888,84638ab0-46f0-4bd7-90e2-b1ebc573c65c,1988-01-01T00:00:00Z
Q1034596,3020fb04-9795-412f-8474-bf6d2ac6d29c,1984-01-01T00:00:00Z
Q1035697,14fe6ea7-5a70-4dd3-ac8c-4c343193201c,1977-01-01T00:00:00Z
Q1035697,f7338f2a-136b-4d5e-b099-5504cf997f58,1977-01-01T00:00:00Z
Q104277135,27ce7002-4856-4778-982d-48b541ac4ae1,2015-01-01T00:00:00Z
Q104389381,726d03d0-fead-40d8-98c2-461a2904678f,1986-01-01T00:00:00Z
Q10439360,d1a20389-a2b7-4b83-8003-f68ca996a30e,2010-01-01T00:00:00Z
Q104420208,0569de1b-104a-4f20-ab41-b669ce9069a4,1996-01-01T00:00:00Z
Q104659731,98b23f01-9833-48df-8e2a-ca61b72a9352,1982-01-01T00:00:00Z
Q104759060,6a125082-74c4-4a1b-bf4b-d91d9cafde4c,2015-01-01T00:00:00Z
Q104771175,23b19bc5-813e-4456-bbae-ac3ca118f535,2019-01-01T00:00:00Z
Q104828349,cabf49d8-dceb-4947-b80f-9c7db77b9542,2010-01-01T00:00:00Z
Q104885213,4eac336d-4d95-467a-a25b-420f277a2173,1964-01-01T00:00:00Z
Q104903900,0dca5b9d-5948-4dc1-acec-dc5afde650ce,2020-01-01T00:00:00Z
Q1049145,178fdfdf-e02e-4608-9b51-e53471e28a58,1963-01-01T00:00:00Z
Q1049555,88a4cd4e-5dee-4153-8462-0d5e43c75f47,1992-01-01T00:00:00Z
Q1049726,06a93515-1590-4d15-b3f9-50c8cadd9bda,1971-01-01T00:00:00Z
Q1050456,095b2041-4975-4ba3-a92e-53fa3459107f,1992-01-01T00:00:00Z
Q1051417,fbd86487-ccb5-4a57-a860-cc3d360b5115,2000-01-01T00:00:00Z
Q1054888,e6493c38-9410-4c95-bef4-a2f1d18d728d,1986-01-01T00:00:00Z
Q105587954,4483a66a-c790-4ba0-814a-54244ba17842,1988-01-01T00:00:00Z
Q1056543,1866f73e-7915-47fb-a12d-d1772b6e2dd5,1977-01-01T00:00:00Z
Q105677002,8a74e5ea-6f68-49e1-951c-80d2291f7c3f,2017-01-01T00:00:00Z
Q105677002,8a74e5ea-6f68-49e1-951c-80d2291f7c3f,2018-01-01T00:00:00Z
Q105730114,7cfd9609-6b67-4c79-a737-ed5dd4283dd9,2008-01-01T00:00:00Z
Q10577741,256469d9-88b9-4083-91b6-f3e341b27c96,1987-01-01T00:00:00Z
Q1057805,95495d6a-c1f2-4a62-b0e3-b9c5f2e9dea6,1985-01-01T00:00:00Z
Q1060797,46693641-1e2e-4aae-80ed-6b28170de63a,1992-01-01T00:00:00Z
Q1062552,3b41164c-3a72-4b95-8bf4-5e1096cecc86,1979-01-01T00:00:00Z
Q1065943,874aec28-dfa7-4a73-a3fa-8212f769754d,1969-01-01T00:00:00Z
Q1066310,bd057a0c-a7b6-47bf-8dc3-45e0efac1798,2004-01-01T00:00:00Z
Q106648,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,1967-07-01T00:00:00Z
Q1066788,985cc4e0-4dbd-42e6-99fa-59f8d08d6cb9,1971-01-01T00:00:00Z
Q1067983,82e454e2-38ee-4e69-89a6-cc65167753d1,2003-01-01T00:00:00Z
Q106844719,a1343989-0290-49a2-8b1c-313cb7bd46c9,2019-01-01T00:00:00Z
Q107013189,9055fca5-69bc-4d47-b569-ab2012a19565,2021-01-01T00:00:00Z
Q10710405,01b1df9d-40b3-4077-9f8a-abf91ca59994,1982-01-01T00:00:00Z
Q1072255,45c057ce-e2a3-40ec-82f4-6d5fffc7dbed,1967-01-01T00:00:00Z
Q1072627,59330405-08d2-477d-b5ab-21a1cc396701,1996-01-01T00:00:00Z
Q1073261,8432d4a5-69c0-4a0e-8a7a-9265e863a308,1979-01-01T00:00:00Z
